kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt
youtube#comment,600702,21224,91712,463359,So true,,0,2024-04-22 15:14:26+00:00
youtube#comment,549057,50201,53793,1125630,🤯😲😳,,0,2025-01-08 15:33:21+00:00
youtube#comment,804966,29145,61224,3309637,Link,,0,2024-08-29 14:43:58+00:00
youtube#comment,1302885,13098,30730,1408547,Half of those skincare came from different cultures 😭🙏,,2,2025-07-03 12:02:23+00:00
youtube#comment,2744696,48794,31684,777869,She’s the twin of Timothee,,0,2024-06-05 11:34:49+00:00
youtube#comment,2306072,50045,18367,2858077,Girl🫀?,,1,2025-07-02 16:17:38+00:00
youtube#comment,3878559,18073,76480,1433142,Lndian 😘😘😘,,0,2022-10-06 12:38:43+00:00
youtube#comment,349213,17781,87279,2454363,Sunscreen is a real problem for me and I have concluded that my skin does not much like coconut oil either.  Thanks much for your comment!  ❤,1100520,0,2024-04-08 22:08:07+00:00
youtube#comment,3209251,19657,40982,1735922,Kasy lg rahy ho bilkul gand ho,,0,2023-03-11 13:22:49+00:00
youtube#comment,791595,33476,47096,2881783,End wala sbse bhayanak tha😱,,0,2023-07-31 06:31:28+00:00
youtube#comment,3646406,52079,72380,1005912,Bro turned into the purple skittle💀,,0,2023-11-30 22:36:16+00:00
youtube#comment,3386986,29048,14019,1493531,niceeeee,,0,2022-07-04 17:20:25+00:00
youtube#comment,1309215,47768,64633,2266078,Eu quero uma peruca dessas😂,,0,2024-12-26 18:59:09+00:00
youtube#comment,119440,40618,35239,2181411,Well the fact is im Bi so,3604112,28,2022-03-10 23:14:36+00:00
youtube#comment,826381,18073,45438,1632083,Indian warm tone and Pakistan cool tone,,0,2024-04-08 06:58:30+00:00
youtube#comment,3295620,37371,5214,3257923,You gotta ask the woman out 😂,,0,2023-07-26 20:01:00+00:00
youtube#comment,1069600,24136,55433,3195457,Why is no talking about “face my tape”. Shouldn’t it be tape my face?,,0,2023-05-30 23:53:17+00:00
youtube#comment,2813091,40618,35239,2228000,What haircut is that?,,0,2022-02-19 02:13:01+00:00
youtube#comment,331759,14429,69445,1332245,"@@izzie3421 Only for the sake of superficial persons who care about that stuff. 

Will makeup make them better contributors to society? Would it make them more charitable? Would it make them volunteer more? 

Would it make them make wiser decisions? If it did, that'd make that individual lacking in character and highly susceptible to depending on others' opinions. . 

Be a good person (man, woman or child), and one's looks won't matter.",3583796,0,2024-02-11 04:39:42+00:00
youtube#comment,2873531,1100,74046,317430,For Rihanna to be a black woman it disappoints me that she always has more fair skinned people in her campaigns.,,2,2024-06-07 17:33:49+00:00
youtube#comment,3142777,10895,39524,1314333,Calling someone fat without calling them fat,,0,2023-06-17 17:20:17+00:00
youtube#comment,147371,25950,90030,346306,"Same, mostly because my brother ""bullied"" me (not really bulling) but kinda glad he did, he made me see what the world is really like",2339482,17,2022-08-27 23:41:23+00:00
youtube#comment,1417918,32921,52362,965511,Ur so pretty❤,,0,2025-02-08 01:22:01+00:00
youtube#comment,4718068,33476,44808,889549,❤❤❤for the same time when,,1,2024-05-07 09:29:44+00:00
youtube#comment,3447755,26891,40498,1636170,"Everyone is beautiful just the way they 
Are❤ who else agrees?
👇",,1,2024-07-20 00:20:58+00:00
youtube#comment,1956412,14489,57754,139986,Todos son mis bias en sus grupos pero en sus grupos tengo más como en enhypen sunoo ni.ki sunghoon jungwon heeseung Jake hay en bts jungkook en stray kids hyunjin feliz han lee know y i.n en zerobaseone Riki y jyp que asco,,0,2024-08-24 03:41:50+00:00
youtube#comment,4070117,45587,90003,2668108,"Hi ,can u tell me from where u buy this chock",,0,2020-09-19 17:59:48+00:00
youtube#comment,4224136,8177,55207,246853,Cute hours pretty,,0,2025-04-30 01:19:52+00:00
youtube#comment,3239925,50696,44242,3213484,"This is SOOOOOO fake!  The hair and beard aren't even realistic, but the biggest thing is how beautiful his teeth are! If he was truly homeless long enough that his hair and beard grew that much, then there's no way on earth that he would have such perfect teeth!",,0,2025-04-02 22:04:32+00:00
youtube#comment,1214024,1547,50063,1983344,"Jesus
Is there anyone here? For I am looking. Who is hungry and thirsty, for I have living bread and water to give not of this world. Does anyone hear me? I am coming soon.",,0,2021-04-24 21:16:05+00:00
youtube#comment,3430367,53161,54480,872400,aCorée,,0,2025-03-23 14:48:25+00:00
youtube#comment,3377380,53183,21710,3631465,حرام عليكي دي نعمة ربنا  وكمان بدل مانتي بتعملي فيديوهات  صلي على النبي  علية افضل الصلاة والسلام  😢😢😢😢😢😢😢😢😢,,0,2022-09-12 17:23:38+00:00
youtube#comment,3614733,18073,86050,1011633,Chinas ❤❤❤,,0,2025-05-01 03:54:40+00:00
youtube#comment,1858474,30386,29266,3445036,"Unbelievable :-O , first i gotta say theyre all beautiful but I cant believe my eyes at No. 6. She was an old Grandma, turned into a diva, amazing. 
How could all the hairdressers not fall in love with all the ladys, they created?",,1,2025-01-26 19:11:39+00:00
youtube#comment,3462293,11399,50000,1768199,I see princess mae,,1,2021-04-25 10:18:15+00:00
youtube#comment,665925,36099,62743,1025749,BEYONCÉ WITH BLONDE HAIR WIG WHO ?😂,,0,2024-01-16 22:54:29+00:00
youtube#comment,1262461,13095,39674,2490197,"Help please!  Could you do a video on how you roll your hair? My hair has grown long during this pandemic, but I dont know how to roll it or even what to buy.  💖 your videos.",,0,2021-03-26 02:36:52+00:00
youtube#comment,2085562,48780,61512,2979295,Ooo kaise kiya hai ☺️,,0,2022-07-18 03:31:36+00:00
youtube#comment,3062212,31138,58691,2044208,outfit link sis❤,,0,2024-10-30 15:44:52+00:00
youtube#comment,3513513,11399,31634,2649477,"if I'm going to be completely honest, you look better than kylie, at least in my opinion.


*LIKE SERIOUSLY THO YOU'RE STUNNING-* 😭💗",,1,2021-12-26 13:02:10+00:00
youtube#comment,996987,33644,41308,1670680,Ei ees vielä oo 2025🫣🤫🤨,,0,2024-10-16 14:13:14+00:00
youtube#comment,4503705,23510,35878,278792,Jasmine!!,,0,2025-06-24 23:44:23+00:00
youtube#comment,3622395,49557,79540,3303883,💞💞💞💞💞💞,,0,2022-06-10 08:20:04+00:00
youtube#comment,2310918,45729,58551,2141231,"You are GORGEOUS bald, beating blonde and hot in ginger❤❤❤",,0,2025-06-04 15:44:15+00:00
youtube#comment,2362971,49193,39002,3027582,Very beautiful❤❤,,0,2024-02-11 21:01:32+00:00
youtube#comment,3023982,2576,66718,3543692,😱👍👩‍🎨🇧🇷,,0,2023-01-02 23:54:27+00:00
youtube#comment,1320667,11300,10674,3403870,Just put tiny pieces of glass ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜Š,,0,2025-04-25 16:17:28+00:00
youtube#comment,1400864,22013,34574,2934027,Plis🦊🙃🦁🧨,,0,2023-03-06 20:26:13+00:00
youtube#comment,3326264,37970,21306,1020476,Achcha makeup nahin hua hai,,0,2024-05-17 12:02:08+00:00
youtube#comment,2060679,28317,18620,2124220,moti,,0,2023-07-19 18:30:38+00:00
youtube#comment,787579,39272,43383,1089175,WTF,,0,2025-06-15 15:02:11+00:00
youtube#comment,782202,45729,4714,136378,What’s your name?,,0,2024-01-14 02:08:09+00:00
youtube#comment,1273961,805,92514,3591043,🤡,,0,2023-03-23 03:10:18+00:00
youtube#comment,414588,47768,64633,2011142,"Обратите внимание на реакцию людей,осуждение ,удивление зашкаливает, ни одной ободряющей улыбки,не то что в загневающей Европе, где все с широкой улыбкой относятся к таким приколам",3845441,3,2024-11-25 12:43:38+00:00
youtube#comment,1520981,33069,36229,751329,💙💙💙💙💩💩💙💙💙💩💩💙,,0,2025-04-30 14:05:16+00:00
youtube#comment,721805,10895,39524,2431176,Stop no is the right answer you are everyone ins beautiful just the way they are❤❤❤❤❤❤❤❤💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝,,0,2023-06-02 21:14:51+00:00
youtube#comment,957943,31638,62509,1714497,what’s the song?,,0,2022-03-30 02:45:00+00:00
youtube#comment,3215532,10267,92656,3621594,Баба яга в тылу врага,,0,2023-03-30 14:22:02+00:00
youtube#comment,2327591,6336,74913,1680870,You can tell she loves her new cut .,,0,2025-02-11 08:25:23+00:00
youtube#comment,1904532,10438,30765,692380,My sister is named Fiona to she’s 17,,0,2023-11-26 17:55:15+00:00
youtube#comment,624,12513,41135,3428907,Monique Garrett you feel me 😂😂😂. I was deathly afraid,1271164,407,2020-01-25 13:19:45+00:00
youtube#comment,2986296,37371,5214,1962360,Ok it wouldn't work on me cause... I like scruffy dad bod dad beard guys. But 100% see this working,,0,2023-07-24 18:24:00+00:00
youtube#comment,1079882,37371,64527,3539711,Your face makes me feel uneasy 🙁,,0,2024-07-12 16:10:50+00:00
youtube#comment,2153705,14429,69445,2198281,Do what you want with your face....but when you look like you just sanded down 100sqft of drywall without a mask....,,0,2025-02-25 16:47:04+00:00
youtube#comment,26970,29070,62368,3267268,Thank you 😊 💓,2494907,0,2020-11-06 09:16:30+00:00
youtube#comment,3366739,16876,18101,1069678,Kabhi Aishwarya Rai,,0,2024-07-16 08:22:40+00:00
youtube#comment,2274822,29048,10902,118016,No glitter? I am disappointed. 🙁,,0,2023-01-11 15:59:13+00:00
youtube#comment,2087450,53183,21710,855795,Megusta,,0,2023-08-26 20:15:09+00:00
youtube#comment,4415871,12391,47238,3005547,Ask the same question to fat women. Whether they will marry a fat man. Nah I have different preferences thats all. Not all women like that,,0,2021-05-04 02:50:36+00:00
youtube#comment,1094278,37371,5214,2100107,You are trying to impress boys or girls,,0,2023-07-25 09:12:15+00:00
youtube#comment,765163,30386,20332,1831325,It appears their makeup is also getting an upgrade,,0,2025-05-05 19:29:03+00:00
youtube#comment,3804724,11449,44359,3585653,Love all your videos!! Thank you!,,1,2020-07-10 21:06:02+00:00
